id,worker,scenario,paradigm,price importance,price min,price max,outbound departure importance,outbound departure min,outbound departure max,outbound arrival importance,outbound arrival min,outbound arrival max,outbound connections importance,outbound connections min,outbound connections max,outbound duration importance,outbound duration min,outbound duration max,returning departure importance,returning departure min,returning departure max,returning arrival importance,returning arrival min,returning arrival max,returning connections importance,returning connections min,returning connections max,returning duration importance,returning duration min,returning duration max,order1,order2,order3,order4
237,173,20,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,174,6,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,,,
239,174,16,SortedBoolean,,,,,,,,,1320,,,,,,,,,,,,1380,,,,,,,+outbound departure,,,
240,174,18,SimpleMAUT,,,,,,,9,660,660,,,,,,,,,,,,,,,,,,,,,,
241,175,4,SimpleMAUT,,,,6,750,750,5,1080,1080,4,0,0,4,330,330,5,900,900,5,1260,1260,3,0,0,3,345,345,,,,
242,174,20,SortedBoolean,,,,,720,,,,1380,,,,,,,,,720,,,1380,,,,,,,+price,,,
243,176,8,SimpleMAUT,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,177,19,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+returning arrival,+price,
245,178,19,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+returning departure,+outbound duration,+price
246,179,17,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,180,16,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,181,18,SimpleMAUT,,,,,,,9,735,735,,,,,,,9,720,720,,,,,,,,,,,,,
249,182,4,SimpleMAUT,4,1025,1025,6,780,780,,,,,,,,,,,,,,,,,,,,,,,,,
250,182,19,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+connections,+returning arrival,
251,183,15,SimpleMAUT,,,,4,360,360,6,480,480,,,,6,90,90,8,885,885,3,990,990,,,,,,,,,,
252,184,16,SortedBoolean,,,,,540,975,,,1200,,,,,,,,,840,,,,,,,,,,+outbound departure,,,
253,185,4,SimpleMAUT,4,0,0,8,780,780,,,,,,,,,,,,,,,,,,,,,,,,,
254,186,8,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+duration,,,
255,187,15,SimpleMAUT,6,0,0,,,,9,645,645,,,,,,,4,855,855,,,,,,,,,,,,,
256,188,4,SimpleMAUT,2,0,0,7,690,690,3,1020,1020,4,0,0,5,180,180,2,690,690,5,1080,1080,5,0,0,6,180,180,,,,
257,189,19,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,190,6,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+outbound connections,+returning connections,
259,191,4,SimpleMAUT,,,,8,660,660,,,,1,1,1,5,525,525,,,,,,,,,,,,,,,,
260,192,8,SortedBoolean,,,,,750,,,1155,,,,,,330,,,525,,,1095,,,,,,315,,+outbound departure,,,
261,193,16,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,194,16,SortedBoolean,,,,,900,1080,,1140,1320,,,,,240,,,540,840,,780,1080,,,,,195,315,+outbound arrival,,,
263,194,7,Tradeoff,1,225,225,30,750,750,10,930,930,20,0,0,30,180,180,30,900,900,,,,50,0,0,40,180,180,,,,
264,195,19,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,196,16,SortedBoolean,,,,,360,,,720,,,,,,285,,,360,,,780,,,,,,,,+outbound arrival,,,
266,197,4,SortedBoolean,,,,,720,900,,900,1185,,,,,120,255,,,,,,,,,,,,,,,,
267,170,4,SortedBoolean,,,,,645,945,,,1275,,,2,,,540,,,,,,1335,,,,,,765,,,,
268,198,4,SortedBoolean,,,,,720,,,,,,2,,,,,,,,,,,,2,,,,,+outbound departure,,,
269,198,14,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound arrival,,,
270,199,4,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,199,13,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+returning arrival,,,
272,200,3,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+returning arrival,+returning departure,+returning duration
273,200,11,Tradeoff,1,1225,1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,201,19,SimpleMAUT,6,275,275,,,,,,,4,0,0,,,,6,1155,1155,6,1335,1335,6,0,0,,,,,,,
275,202,8,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,203,5,SimpleMAUT,7,725,725,6,1140,1140,5,1995,1995,4,0,0,6,135,135,6,1035,1035,8,1170,1170,3,0,0,5,135,135,,,,
277,202,7,SimpleMAUT,5,0,0,5,555,555,,,,,,,,,,,,,6,1020,1020,,,,,,,,,,
278,204,3,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,,,
279,205,20,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,-outbound departure,-outbound arrival,+returning departure
280,206,13,SortedBoolean,,,,,30,,,480,630,,,1,,,360,,,,,870,1410,,,1,,,360,-price,,,
281,207,3,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,,,
282,207,2,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,206,5,SimpleMAUT,4,0,0,8,1140,1140,7,1905,1905,1,0,0,5,0,0,,,,9,1320,1320,1,0,0,6,0,0,,,,
284,208,11,SortedBoolean,,,,,,660,,,720,,,1,,,240,,1080,,,,1425,,,1,,,240,,,,
285,209,7,SimpleMAUT,,,,5,615,615,5,1050,1050,,,,,,,5,600,600,5,1065,1065,,,,,,,,,,
286,210,11,Tradeoff,1,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,211,13,SimpleMAUT,1,600,600,4,870,870,4,1260,1260,9,0,0,9,0,0,9,870,870,9,1260,1260,9,0,0,9,0,0,,,,
288,212,4,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
289,213,5,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,,,
290,213,4,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+price,+duration,+connections
291,214,11,Tradeoff,1,0,0,,,,160,660,660,,,,,,,,,,,,,,,,,,,,,,
292,215,10,Tradeoff,1,1650,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,215,15,SortedBoolean,,,,,,,,,660,,,,,,,,840,,,,,,,,,,,,,,
294,216,10,Tradeoff,1,0,0,70,1275,1275,,,,,,,,,,,,,,,,,,,,,,,,,
295,217,12,SimpleMAUT,1,0,0,5,225,225,5,450,450,2,0,0,2,225,225,5,1260,1260,2,1560,1560,,,,,,,,,,
296,217,11,SortedBoolean,,,,,300,405,,540,705,,,,,,,,1095,1245,,1305,1545,,,,,,,+outbound arrival,,,
297,215,4,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
298,215,5,SimpleMAUT,,,,5,420,420,,,,,,,,,,,,,5,1020,1020,,,,,,,,,,
299,218,5,SortedBoolean,,,,,,,,,1155,,,2,,,,,660,,,,,,,2,,,,+outbound arrival,,,
300,218,4,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+duration,+price,
301,219,14,Tradeoff,1,1375,1375,90,0,0,,,,,,,,,,10,0,0,,,,,,,,,,,,,
302,220,20,SimpleMAUT,7,350,350,5,1095,1095,1,1290,1290,1,0,0,5,0,0,5,300,300,5,510,510,1,0,0,5,0,0,,,,
303,220,9,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,-outbound departure,+returning arrival,+price,+duration
304,221,13,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
305,222,7,SortedBoolean,,,,,480,900,,,1200,,,1,,,480,,420,1320,,1020,1260,,,1,,,150,,,,
306,210,7,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,,,
307,223,14,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,224,12,SortedBoolean,,,,,,,,,,,,,,,,,,1320,,,,,,,,,,+duration,,,
309,224,11,SimpleMAUT,,,,2,0,0,9,705,705,,,,,,,9,1140,1140,,,,,,,,,,,,,
310,225,3,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+outbound departure,+connections,
311,226,11,SimpleMAUT,,,,5,0,0,9,660,660,,,,,,,8,1110,1110,8,480,480,,,,,,,,,,
312,225,5,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
313,227,10,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,210,9,SimpleMAUT,6,0,0,,,,,,,5,0,0,,,,4,375,375,5,660,660,5,0,0,,,,,,,
315,228,10,SimpleMAUT,4,425,425,8,1140,1140,8,1380,1380,7,0,0,6,180,180,7,1020,1020,6,1200,1200,5,0,0,6,180,180,,,,
316,229,15,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,230,15,SortedBoolean,,,,,,,,660,,,,,,,,,840,,,,,,,,,,,,,,
318,170,2,SortedBoolean,,,,,900,,,,1515,,,2,,,705,,,780,,,1365,,,2,,,615,,,,
319,231,15,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,232,16,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,232,7,SimpleMAUT,,,,4,495,495,4,765,765,9,0,0,6,0,0,5,510,510,5,765,765,9,0,0,6,0,0,,,,
322,233,9,SimpleMAUT,9,375,375,9,1140,1140,,,,,,,,,,9,240,240,,,,,,,,,,,,,
323,234,17,SortedBoolean,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,-price,,,
324,234,10,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,234,20,SimpleMAUT,5,0,0,5,930,930,,,,,,,,,,,,,,,,,,,,,,,,,
326,235,13,SimpleMAUT,,,,,,,,,,,,,,,,,,,5,1005,1005,,,,,,,,,,
327,236,16,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+returning departure,+duration,+returning duration,+returning arrival
328,237,4,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+duration,+price,+connections
329,238,20,SimpleMAUT,,,,6,720,720,7,1395,1395,1,0,0,5,0,0,5,540,540,6,1380,1380,1,0,0,5,0,0,,,,
330,239,4,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,-outbound departure,+price,,
331,240,5,SimpleMAUT,7,650,650,2,390,390,2,540,540,,,,,,,4,585,585,1,675,675,,,,,,,,,,
332,241,5,SortedBoolean,,,,,30,,,,1230,,,2,,,,,435,855,,,1200,,,2,,,,+outbound departure,,,
333,242,17,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+returning departure,+returning departure,+returning departure
334,243,17,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+outbound arrival,+outbound duration,+price
335,242,11,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,244,11,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound arrival,+returning departure,+returning arrival,+duration
337,244,3,Tradeoff,1,425,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,71,10,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
339,71,11,SimpleMAUT,,,,,,,9,660,660,,,,,,,7,1080,1080,,,,,,,,,,,,,
340,245,7,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+outbound arrival,+returning departure,+returning arrival
341,246,7,SimpleMAUT,,,,7,720,720,,,,,,,,,,5,540,540,8,1260,1260,,,,,,,,,,
342,246,16,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+returning departure,+duration,+outbound arrival
343,247,3,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+duration,+connections,
344,247,1,Tradeoff,1,625,625,,,,10,360,360,,,,,,,,,,,,,,,,,,,,,,
345,248,10,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound connections,-returning departure,+returning arrival,+returning connections
346,249,11,SortedBoolean,,,,,,525,,,720,,,1,,,,,1080,,,1425,1980,,,2,,,,+outbound departure,,,
347,250,16,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+outbound connections,+connections,+duration
348,250,15,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,171,15,SortedBoolean,,,,,390,,,,,,,,,,,,840,,,,,,,,,,,+outbound departure,,,
350,251,17,SimpleMAUT,7,125,125,1,525,525,1,960,960,5,0,0,6,0,0,1,0,0,1,360,360,4,0,0,6,0,0,,,,
351,252,19,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,251,19,SimpleMAUT,7,425,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,251,14,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
354,253,15,Tradeoff,1,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,172,20,SimpleMAUT,9,0,0,3,720,720,,,,,,,,,,,,,,,,,,,,,,,,,
356,172,10,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+duration,,,
357,254,8,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+outbound connections,+returning departure,+returning connections
358,254,16,Tradeoff,1,900,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,254,15,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
360,255,10,SimpleMAUT,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,,,,,
361,256,6,SortedBoolean,,,,,360,660,,,,,,,,,,,540,1200,,,,,,,,,,,,,
362,256,15,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,257,17,Tradeoff,1,525,525,,,,,,,,,,220,0,0,110,555,555,,,,,,,,,,,,,
364,258,15,SortedBoolean,,,,,210,555,,,,,,,,,,,840,990,,,,,,,,,,,,,
365,259,6,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,,,
366,260,8,Tradeoff,1,425,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,50,5,SimpleMAUT,4,0,0,,,,,,,4,0,0,5,0,0,,,,,,,4,0,0,5,0,0,,,,
368,259,20,SimpleMAUT,9,500,500,,,,,,,,,,9,0,0,,,,,,,,,,9,0,0,,,,
369,259,10,Tradeoff,1,475,475,50,900,900,,,,,,,,,,,,,,,,,,,,,,,,,
370,50,19,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,259,12,SimpleMAUT,,,,9,420,420,,,,,,,,,,9,900,900,,,,,,,,,,,,,
372,259,11,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+returning arrival,+outbound arrival,+outbound departure,+returning departure
373,261,17,SortedBoolean,,,,,,600,,645,1425,,,,,,,,450,1170,,,,,,,,,,,,,
374,262,10,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,263,11,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,262,17,SortedBoolean,,,,,510,1125,,,,,,1,,,,,585,870,,,,,,1,,,,,,,
377,264,3,Tradeoff,1,125,125,20,570,570,,,,20,0,0,20,45,45,20,645,645,,,,20,0,0,20,45,45,,,,
378,265,3,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+duration,+returning arrival,+returning departure,+connections
379,266,17,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,267,7,SimpleMAUT,1,0,0,4,480,480,7,360,360,4,0,0,6,0,0,4,915,915,7,1365,1365,4,0,0,6,0,0,,,,
381,268,11,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,269,3,SimpleMAUT,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,269,12,SortedBoolean,,,,,90,,,795,,,,,,135,,,45,,,510,,,,,,135,,+outbound arrival,,,
384,270,3,Tradeoff,1,325,325,10,450,450,,,,,,,30,180,180,10,960,960,,,,,,,30,180,180,,,,
385,223,9,SimpleMAUT,,,,5,780,780,1,360,360,,,,3,0,0,3,420,420,1,360,360,,,,3,0,0,,,,
386,131,9,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
387,223,10,SortedBoolean,,,,,750,,,,1320,,,2,,,390,,705,,,,1380,,,2,,,420,,,,
388,223,20,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+outbound departure,,
389,271,7,SimpleMAUT,3,600,600,3,450,450,3,1035,1035,4,0,0,3,0,0,3,285,285,3,1185,1185,3,3,3,3,435,435,,,,
390,223,11,SimpleMAUT,,,,,,,9,720,720,,,,,,,8,1080,1080,,,,,,,,,,,,,
391,259,5,Tradeoff,1,450,450,30,435,435,,,,,,,,,,,,,40,1095,1095,,,,,,,,,,
392,259,19,SimpleMAUT,7,650,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,259,13,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+connections,+duration,+returning arrival,+returning departure
394,272,11,SortedBoolean,,,,,15,690,,390,720,,,,,,,,1080,,,,,,,,,,,+duration,,,
395,273,13,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+returning departure,+returning arrival,+outbound arrival
396,260,5,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+duration,+price,+outbound departure,+outbound arrival
397,274,8,SimpleMAUT,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,275,14,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,276,8,SimpleMAUT,7,0,0,9,720,720,,,,,,,,,,,,,,,,,,,,,,,,,
400,276,16,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+duration,+price,,
401,260,3,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+duration,+price,+connections,
402,260,1,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,277,5,SimpleMAUT,4,1000,1000,7,420,420,5,900,900,1,1,1,5,480,480,5,480,480,8,960,960,1,1,1,8,480,480,,,,
404,277,4,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+returning departure,+duration,+price
405,277,19,Tradeoff,1,950,950,80,360,360,50,840,840,,,,60,480,480,80,420,420,50,900,900,,,,60,480,480,,,,
406,278,1,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,,,
407,277,12,SimpleMAUT,5,1000,1000,,,,,,,,,,,,,7,300,300,9,840,840,5,0,0,9,480,480,,,,
408,278,11,Tradeoff,1,1300,1300,20,360,360,350,690,690,,,,,,,250,1110,1110,360,540,540,,,,150,0,0,,,,
409,277,11,Tradeoff,1,2000,2000,1000,0,0,1000,360,360,1000,0,0,1000,360,360,1000,960,960,1000,1260,1260,1000,0,0,1000,300,300,,,,
410,279,2,Tradeoff,1,275,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,279,11,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound arrival,+returning departure,,
412,277,1,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+connections,+duration,+returning departure
413,280,13,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+duration,,,
414,281,14,SortedBoolean,,,,,420,1020,,,,,,,,,,,600,780,,,,,,,,,,,,,
415,282,14,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
416,283,13,SimpleMAUT,3,750,750,1,660,660,1,840,840,5,1,1,5,360,360,2,600,600,5,1140,1140,5,1,1,5,420,420,,,,
417,284,13,SimpleMAUT,,,,5,525,525,5,885,885,3,0,0,3,0,0,2,495,495,8,810,810,4,0,0,3,0,0,,,,
418,283,14,Tradeoff,1,750,750,100,720,720,100,1020,1020,150,1,1,100,420,420,100,600,600,100,900,900,150,1,1,100,420,420,,,,
419,283,5,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+connections,+returning duration,+price,+returning arrival
420,285,6,SimpleMAUT,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,286,6,SortedBoolean,,,,,600,,,390,,,,,,,,,1020,,,,,,,,,,,+price,,,
422,287,5,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+outbound arrival,+outbound duration,+returning departure
423,288,2,SortedBoolean,,,,,,1065,,,795,,,,,,,,,375,,,1275,,,,,,,+price,,,
424,288,12,SimpleMAUT,,,,,,,9,555,555,,,,6,0,0,,,,,,,,,,,,,,,,
425,289,3,SortedBoolean,,,,,60,1410,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
426,290,15,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,290,7,SortedBoolean,,,,,255,,,630,,,,,,,,,,,,,,,,,,,,,,,
428,290,10,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,290,9,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
430,291,5,SimpleMAUT,5,350,350,6,0,0,6,360,360,,,,,,,6,735,735,7,1095,1095,,,,,,,,,,
431,291,4,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,-outbound departure,-price,+returning arrival,
432,292,5,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
433,293,11,SortedBoolean,,,,,525,,,720,,,,,,,,,1140,,,,1320,,,,,,,+outbound arrival,,,
434,294,3,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+returning departure,+outbound departure,+returning duration
435,293,12,SimpleMAUT,,,,5,270,270,4,510,510,6,0,0,6,0,0,5,1035,1035,4,360,360,2,0,0,5,0,0,,,,
436,295,17,SimpleMAUT,6,200,200,,,,,,,,,,,,,,,,3,360,360,,,,,,,,,,
437,295,2,Tradeoff,1,0,0,,,,,,,,,,250,0,0,,,,,,,,,,,,,,,,
438,296,6,SortedBoolean,,,,,645,,,960,,,2,,,330,,,525,,,900,,,1,,,420,,,,,
439,297,9,SimpleMAUT,,,,9,1170,1170,,,,,,,7,240,240,9,300,300,,,,,,,7,165,165,,,,
440,297,20,SortedBoolean,,,,,540,,,,2055,,,,,,,,,,,,,,,,,,,,,,
441,298,13,SortedBoolean,,,,,165,,,450,1860,,,,,615,,,195,,,,1785,,,,,675,,,,,
442,299,2,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+connections,+price,,
443,300,20,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+outbound departure,+returning departure,+duration
444,301,3,SimpleMAUT,7,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,302,10,SimpleMAUT,9,350,350,4,1200,1200,,,,,,,,,,6,540,540,,,,,,,,,,,,,
446,303,18,Tradeoff,1,975,975,1000,0,0,1000,360,360,1000,0,0,950,360,360,1000,840,840,830,1200,1200,850,0,0,770,360,360,,,,
447,304,3,SimpleMAUT,7,450,450,2,0,0,4,360,360,3,2,2,1,240,240,1,0,0,3,360,360,1,0,0,1,270,270,,,,
448,304,1,Tradeoff,1,375,375,80,0,0,100,360,360,290,0,0,90,120,120,100,0,0,90,360,360,20,0,0,60,0,0,,,,
449,305,5,Tradeoff,1,0,0,20,570,570,10,885,885,30,0,0,50,390,390,10,570,570,20,1110,1110,10,0,0,40,525,525,,,,
450,305,14,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+returning departure,+duration,,
451,306,9,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+returning departure,+outbound departure,+outbound duration,+returning duration
452,307,11,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound arrival,+returning arrival,+returning duration,
453,308,14,Tradeoff,1,475,475,10,720,720,130,1080,1080,50,0,0,,,,,,,110,960,960,,,,,,,,,,
454,309,2,SortedBoolean,,,,,,,,,,,,,,,,,,,,,1110,,,,,,,+price,,,
455,309,10,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,,,
456,310,10,SortedBoolean,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,+duration,,,
457,310,9,SimpleMAUT,5,450,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,309,9,SimpleMAUT,,,,5,825,825,,,,,,,,,,,,,5,705,705,,,,,,,,,,
459,311,12,SimpleMAUT,5,175,175,8,0,0,8,360,360,7,0,0,7,0,0,6,0,0,5,360,360,6,0,0,6,0,0,,,,
460,312,13,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+returning arrival,+price,+connections,+duration
461,198,10,Tradeoff,1,850,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,198,17,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
463,313,12,SortedBoolean,,,,,510,,,1020,,,2,,,,465,,270,,,,1275,,,3,,,,,,,
464,314,3,SortedBoolean,,,,,540,1260,,,,,,0,,,,,540,960,,,,,,0,,,,+price,,,
465,314,12,SimpleMAUT,1,900,900,5,540,540,5,720,720,4,0,0,4,240,240,6,1140,1140,,,,,,,6,240,240,,,,
466,315,17,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound arrival,+price,+outbound connections,+connections
467,315,9,SortedBoolean,,,,,1020,,,,1440,,,1,,,330,,,,,,1260,,,0,,165,330,,,,
468,316,5,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound arrival,+returning arrival,+price,+duration
469,317,12,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+duration,,,
470,317,2,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,318,10,SimpleMAUT,3,600,600,8,1110,1110,3,1290,1290,2,0,0,5,180,180,7,660,660,7,840,840,4,0,0,6,180,180,,,,
472,319,6,SimpleMAUT,4,450,450,7,600,600,8,1305,1305,5,0,0,5,240,240,6,780,780,7,1185,1185,5,0,0,5,210,210,,,,
473,319,15,Tradeoff,1,0,0,440,0,0,530,660,660,400,1,1,600,255,255,470,840,840,470,945,945,470,1,1,530,285,285,,,,
474,319,7,SortedBoolean,,,,,270,,,435,,,,2,,330,,,390,1290,,480,1260,,1,,,105,360,+duration,,,
475,320,13,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+returning arrival,+connections,+price
476,320,5,SimpleMAUT,,,,,,,,,,9,0,0,7,0,0,,,,5,1080,1080,9,0,0,7,0,0,,,,
477,321,7,SortedBoolean,,,,,450,,,,1290,,,2,,,405,,,,,,1380,,,2,,,435,+price,,,
478,322,12,SimpleMAUT,3,975,975,3,555,555,3,840,840,,,,,,,,,,,,,,,,,,,,,,
479,223,7,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+returning arrival,+duration,
480,323,16,SimpleMAUT,,,,,,,,,,,,,,,,9,720,720,,,,,,,,,,,,,
481,323,8,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,,,
482,324,8,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+outbound arrival,,
483,325,17,SimpleMAUT,3,600,600,2,765,765,6,1125,1125,1,0,0,3,255,255,3,540,540,4,795,795,,,,6,255,255,,,,
