id,worker,scenario,paradigm,price importance,price min,price max,outbound departure importance,outbound departure min,outbound departure max,outbound arrival importance,outbound arrival min,outbound arrival max,outbound connections importance,outbound connections min,outbound connections max,outbound duration importance,outbound duration min,outbound duration max,returning departure importance,returning departure min,returning departure max,returning arrival importance,returning arrival min,returning arrival max,returning connections importance,returning connections min,returning connections max,returning duration importance,returning duration min,returning duration max,order1,order2,order3,order4
54,44,1,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+duration,+connections,+outbound arrival
55,45,17,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+outbound duration,+returning arrival,+returning departure
56,46,11,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+duration,+outbound arrival,,
57,47,7,Tradeoff,1,350,350,50,495,495,,,,100,0,0,50,120,120,50,555,555,,,,100,0,0,50,120,120,,,,
58,47,16,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+connections,,
59,48,17,SimpleMAUT,4,850,850,5,330,330,3,1260,1260,5,1,1,3,450,450,4,585,585,6,1350,1350,4,1,1,5,480,480,,,,
60,48,20,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+returning arrival,+returning duration,+outbound departure
61,49,15,Tradeoff,1,700,700,,,,50,660,660,,,,,,,10,840,840,,,,,,,,,,,,,
62,50,11,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,-price,-returning departure,-duration,+connections
63,51,12,Tradeoff,1,2000,2000,1000,0,0,1000,360,360,1000,5,5,1000,360,360,1000,0,0,1000,360,360,1000,5,5,1000,390,390,,,,
64,51,11,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+duration,+outbound departure,+outbound arrival,+connections
65,52,17,Tradeoff,1,0,0,,,,,,,100,0,0,,,,20,0,0,,,,20,0,0,,,,,,,
66,53,6,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,54,15,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+returning departure,,
68,55,12,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,56,14,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+duration,+price,+returning departure,+returning arrival
70,56,13,SimpleMAUT,6,0,0,5,210,210,5,840,840,6,0,0,7,0,0,5,540,540,5,1245,1245,6,0,0,7,0,0,,,,
71,57,18,SimpleMAUT,,,,,,,9,360,360,,,,,,,,,,,,,,,,,,,,,,
72,58,18,SimpleMAUT,,,,,,,9,660,660,,,,,,,,,,,,,,,,,,,,,,
73,59,3,Tradeoff,1,475,475,70,210,210,40,600,600,50,1,1,100,120,120,80,150,150,40,510,510,100,1,1,80,165,165,,,,
74,58,17,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,60,16,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,61,1,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,61,12,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
78,62,13,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,63,10,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+duration,,,
80,62,14,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+returning departure,+outbound arrival,+outbound duration,+returning duration
81,63,17,Tradeoff,1,0,0,,,,,,,10,0,0,10,0,0,,,,,,,,,,,,,,,,
82,64,6,SimpleMAUT,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,65,2,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+outbound arrival,+connections,+price
84,66,3,SimpleMAUT,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,65,1,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,67,14,Tradeoff,1,200,200,50,300,300,50,405,405,,,,,,,50,600,600,50,720,720,,,,,,,,,,
87,68,2,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+outbound departure,,
88,69,6,Tradeoff,1,0,0,40,0,0,,,,,,,50,0,0,,,,,,,,,,,,,,,,
89,70,7,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,70,15,SimpleMAUT,,,,,,,9,660,660,,,,,,,,,,,,,,,,,,,,,,
